MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	rna_cell	Sample	meth_cell
1.096975656	1.715754976	-1.090497514	-0.503760031	-0.713277482	-0.175129486	0.145965153	0.017987859	MES.1	MES.1	MGH105A_P7_A9_S9_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.067756312	0.981285601	0.589062531	0.062440881	-0.47291386	0.367147826	-0.637552347	-0.25972514	MES.1	MES.1	MGH105A_P7_B10_S22_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.189071965	0.680876691	0.233720688	-0.241075991	-0.294109411	-0.287111928	-0.207979941	-0.136122411	MES.1	MES.1	MGH105A_P7_C1_S25_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
0.720669584	0.968580956	-1.629650878	-0.898096331	-1.318028467	-0.563392303	-0.018295045	0.280580915	MES.1	MES.1	MGH105A_P7_C3_S27_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
0.719749872	1.58545772	-0.85683805	-0.614133303	-0.857096598	0.008342175	0.17714362	0.103738527	MES.1	MES.1	MGH105A_P7_E1_S49_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
1.250347678	2.206825364	-1.216993777	-0.814494809	-0.68686423	-0.299601221	-0.001664597	0.135703017	MES.1	MES.1	MGH105A_P7_G12_S84_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.556580374	2.472150762	-1.096854325	-0.895250059	-0.763900576	-0.08307756	-0.252833426	0.090603795	MES.1	MES.1	MGH105A_P7_H12_S96_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.645835726	2.023795732	-1.384178723	-0.976235794	-0.982351205	-0.450715533	-0.242555938	0.023408501	MES.1	MES.1	MGH105A_P7_H5_S89_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
2.03906683	2.204440403	-1.743089389	-1.201428999	-1.133579977	0.273805069	-0.21547222	0.176569152	MES.1	MES.1	MGH105A_P7_H8_S92_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.459088899	-1.143559865	-0.145514859	-0.54963004	-0.071113954	-0.017585296	-0.163865953	-0.039148141	NPC.2	NPC.2	MGH105A_P7_F12_S72_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
1.107914036	0.344847047	-0.087741723	-0.403068428	-0.808474201	-0.341281595	-0.108657808	0.447774276	MES.2	MES.2	MGH105A_P7_A12_S12_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
1.686398849	0.40779432	-1.210079881	-1.115294441	-1.105216327	-0.333722719	-0.549582501	-0.103821383	MES.2	MES.2	MGH105A_P7_A5_S5_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
1.933677094	1.747018215	-1.775924859	-0.763692773	-1.21512071	-0.358985029	0.095500856	-0.107454744	MES.2	MES.2	MGH105A_P7_A6_S6_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
1.745169818	0.276021371	-1.360362737	-1.053011801	-1.459416375	-0.208009683	0.196921817	-0.217872583	MES.2	MES.2	MGH105A_P7_A8_S8_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
1.933200386	0.424315898	-1.684526881	-1.194327212	-1.498295847	-0.366449405	-0.13543256	0.080036505	MES.2	MES.2	MGH105A_P7_C11_S35_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
2.404929577	1.598972663	-2.003230841	-1.174759961	-1.144564136	-0.488625187	-0.047091401	0.108380112	MES.2	MES.2	MGH105A_P7_D3_S39_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
1.330395381	0.898837659	-1.441645892	-0.957059412	-0.959917337	-0.252456754	-0.361927142	-0.337966972	MES.2	MES.2	MGH105A_P7_D9_S45_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
2.058483521	0.909261984	-1.619944611	-0.995160011	-0.503673322	0.077559416	-0.053126411	-0.201728478	MES.2	MES.2	MGH105A_P7_F1_S61_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
2.413055537	0.561414017	-2.269908864	-1.446173528	-1.304601356	-0.435287006	0.063738897	-0.035692299	MES.2	MES.2	MGH105A_P7_G3_S75_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
0.98255013	-0.123365922	-1.537319178	-0.983052488	-0.869613797	-0.471112188	0.000820211	0.227990133	MES.2	MES.2	MGH105A_P7_H4_S88_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.960659668	-0.911990457	1.049597513	0.882985968	1.277913458	0.460521799	0.116755793	0.096332135	NPC.1	NPC.1	MGH105A_P7_B8_S20_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.465897539	-0.595687817	0.402373366	0.740787269	0.918463722	0.376464463	-0.093373591	0.029329162	NPC.1	NPC.1	MGH105A_P7_C5_S29_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-1.095563419	-0.901524405	0.371143923	0.881502127	1.382855483	0.789728658	-0.50476734	-0.106013929	NPC.1	NPC.1	MGH105A_P7_C8_S32_L003_R1_001	MGH105A	NA
-0.335397208	-1.097307102	-0.609188615	-0.584351094	0.328619814	0.15375751	-0.288419101	0.23305335	NPC.1	NPC.1	MGH105A_P7_D11_S47_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.811674607	-1.048356774	0.057297091	0.97299842	1.842473282	0.531381929	-0.277173376	-0.194703627	NPC.1	NPC.1	MGH105A_P7_D5_S41_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.651277013	-1.014377785	-0.246103305	0.792244622	2.01905113	0.891248203	0.425663653	-0.321103443	NPC.1	NPC.1	MGH105A_P7_D6_S42_L003_R1_001	MGH105A	MGH105A_P7_C1_S2_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.001145694	-1.237331404	0.734916714	1.155829576	1.304432022	0.193000184	-0.095638565	-0.098382383	NPC.1	NPC.1	MGH105A_P7_E12_S60_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.133553095	-1.748341748	-1.517683563	0.829170814	1.320458398	0.542147251	-0.299647682	-0.130522292	NPC.1	NPC.1	MGH105A_P7_E4_S52_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.621333439	-0.871071409	-0.585724944	0.579974962	1.114346859	0.161209461	-0.075331639	0.004961371	NPC.1	NPC.1	MGH105A_P7_E5_S53_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-1.197498142	-0.51078944	-0.335204474	-0.142419194	0.571250207	0.055964484	0.221593535	-0.246414871	NPC.1	NPC.1	MGH105A_P7_E7_S55_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.58115966	-1.649441597	-0.264995071	0.635808178	0.81447729	0.192353247	0.151128347	-0.266844098	NPC.1	NPC.1	MGH105A_P7_F10_S70_L003_R1_001	MGH105A	MGH105A_P7_E1_S3_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-1.074549441	-1.325853637	-0.540257088	0.928342724	2.10070136	0.994229908	1.028638667	0.030741243	NPC.1	NPC.1	MGH105A_P7_G2_S74_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.043482659	-1.253867996	-0.6088879	0.443632847	1.071295792	0.453253536	-0.007722348	0.070589242	NPC.1	NPC.1	MGH105A_P7_G6_S78_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.826060672	-1.16702258	-0.317282111	0.872678116	1.586568223	0.21586557	0.11853609	0.034320732	NPC.1	NPC.1	MGH105A_P7_G8_S80_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.792446052	-0.653593154	0.49013707	1.015113011	0.785448683	0.152924849	-0.337994492	-0.231982568	OPC	OPC	MGH105A_P7_B3_S15_L003_R1_001	MGH105A	MGH105A_P7_A1_S1_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.564330672	-1.021242858	0.147495263	0.520214269	0.330963673	0.004047072	-0.291952943	0.000888537	OPC	OPC	MGH105A_P7_G10_S82_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.966446079	-1.227724096	1.012727097	1.275024572	0.417228032	-0.207652121	-0.450782611	-0.53656611	OPC	OPC	MGH105A_P7_G9_S81_L003_R1_001	MGH105A	MGH105A_P7_G1_S4_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.340931449	1.077358548	1.163479554	0.570873821	0.474364651	0.266123876	-0.066312935	-0.035998943	AC	AC	MGH105B_P6_A9_S14_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
0.049450515	0.139394871	0.804004394	0.61112111	0.239569039	0.202164126	-0.129384152	-0.179072243	AC	AC	MGH105B_P6_C6_S34_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.49847907	0.744493133	1.130867688	0.45543038	0.254518876	0.336780805	-0.054230861	0.225112723	AC	AC	MGH105B_P6_E9_S59_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
0.012572316	0.478090751	0.530010115	-0.05870594	-0.104287003	-0.036107472	0.241619165	-0.068172909	AC	AC	MGH105B_P6_H1_S85_L004_R1_001	MGH105B	MGH105B_P6_G1_S4_L005.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.507682348	-1.81257115	-0.743284738	-0.114138834	0.100956878	-0.296738657	0.710865358	0.313479254	G1.S	NPC.1	MGH105B_P6_F5_S67_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.450228212	-0.213545253	-0.707138707	-0.469419969	-0.001332271	0.34084308	0.390368879	-0.172846313	G1.S	NPC.2	MGH105B_P6_D11_S51_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.257144792	-0.625646173	-0.365601808	0.083358041	0.244363071	0.137258206	-0.009300243	0.25633508	G2.M	NPC.1	MGH105B_P6_F9_S71_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.78355833	-2.247363977	-0.838282385	-0.272907205	0.166079284	0.19029167	0.382580891	0.493417148	G2.M	NPC.2	MGH105B_P6_C2_S31_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.76362797	0.753802966	-0.016879469	0.193131543	-0.141748927	-0.232447048	0.131900204	-0.093394188	MES.1	MES.1	MGH105B_P6_A11_S16_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.858979598	0.639906326	-0.098002846	-0.126257769	-0.274212871	-0.265214463	-0.226612622	-0.094477412	MES.1	MES.1	MGH105B_P6_A12_S17_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.051189899	1.147404942	0.134262921	0.209804824	-0.032674488	0.058271097	0.097895598	-0.036734467	MES.1	MES.1	MGH105B_P6_B10_S27_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.358546195	0.932831375	0.190578749	0.110555625	0.048070256	0.041612222	-0.122460818	0.266375044	MES.1	MES.1	MGH105B_P6_B4_S21_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.055229704	1.063670829	1.019724035	0.329887553	0.053771256	-0.218838196	-0.073965861	-0.28883566	MES.1	MES.1	MGH105B_P6_B6_S23_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.747919824	0.44989752	0.383343929	0.084718829	0.181850199	0.094592748	-0.168014872	-0.03809094	MES.1	MES.1	MGH105B_P6_C8_S36_L004_R1_001	MGH105B	NA
-1.148095991	1.346265116	1.31075008	0.568813508	0.142540701	-0.129259116	-0.542370999	0.16241528	MES.1	MES.1	MGH105B_P6_D1_S41_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.190403352	0.731839988	-0.1647394	0.242438738	-0.251286856	0.082189459	0.177819518	-0.21967967	MES.1	MES.1	MGH105B_P6_D4_S44_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.079280327	0.55517347	0.351064112	0.085872122	0.36466494	0.31158549	0.375064416	0.101937625	MES.1	MES.1	MGH105B_P6_E10_S60_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
-0.310521146	0.604768823	0.412907857	-0.217018866	0.269355296	-0.236618519	-0.561270317	-0.409302688	MES.1	MES.1	MGH105B_P6_E3_S54_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.947533855	1.217640171	0.688183481	0.243861918	-0.013105915	-0.286899736	-0.389022591	0.062999554	MES.1	MES.1	MGH105B_P6_E7_S57_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
-0.164657326	1.038565873	0.80144941	0.232549265	-0.143693635	0.090607665	-0.097037629	0.178704197	MES.1	MES.1	MGH105B_P6_F11_S4_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.217438065	1.184921215	0.824155431	0.118608554	-0.124318493	-0.180441086	-0.172322313	-0.272610919	MES.1	MES.1	MGH105B_P6_G3_S76_L004_R1_001	MGH105B	MGH105B_P6_G1_S4_L005.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
0.011915526	0.444611683	0.347169829	-0.142431467	0.079985579	-0.089960894	-0.072164911	0.064973557	MES.1	MES.1	MGH105B_P6_G5_S78_L004_R1_001	MGH105B	MGH105B_P6_G1_S4_L005.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
0.237982075	0.188579964	-0.178950924	-0.209720369	-0.46591749	0.023475058	-0.05700469	-0.246373347	MES.2	MES.2	MGH105B_P6_A2_S7_L004_R1_001	MGH105B	MGH105B_P6_A1_S1_L005.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.362891901	-0.34583934	-0.265246164	0.015421055	0.284555536	0.303183932	-0.070430692	-0.078281684	MES.2	MES.2	MGH105B_P6_C12_S40_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.443630446	-1.065534222	-0.823802412	-0.254055729	-0.158110381	-0.206038293	-0.267820748	-0.099554171	MES.2	MES.2	MGH105B_P6_C4_S32_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
0.557589706	-2.013566828	-1.363542823	-0.288597133	-0.291562823	-0.385501062	0.041473261	0.028957938	MES.2	MES.2	MGH105B_P6_D5_S45_L004_R1_001	MGH105B	MGH105B_P6_C1_S2_L005.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
0.482038257	-0.293433241	-0.615309794	-0.070019287	-0.17200612	-0.072664082	-0.040895905	-0.120019938	MES.2	MES.2	MGH105B_P6_E11_S61_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
1.101341252	-0.01772616	-0.058735344	-0.092366045	-0.222796863	0.134838683	0.071506745	0.189353599	MES.2	MES.2	MGH105B_P6_E12_S62_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
0.404241719	-0.59732467	-0.803869045	-0.319376583	-0.159253557	-0.148741545	0.100235041	0.006559903	MES.2	MES.2	MGH105B_P6_E8_S58_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
1.124169889	-0.584891165	0.118422554	-0.342457563	-0.020998533	0.206168065	-0.027177676	0.038388186	MES.2	MES.2	MGH105B_P6_F10_S72_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
0.522091619	0.078180374	-0.001232663	0.018216128	-0.115244486	-0.001396037	0.122308589	-0.064210705	MES.2	MES.2	MGH105B_P6_F2_S64_L004_R1_001	MGH105B	MGH105B_P6_E1_S3_L005.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
