G1/S	G2/M	stemness	AC (PCA-only)	AC (PCA+mice)	OC (PCA-only)	OC (OG+mice)
    MSH2	    KIF20B	    SPDYE1	ID4	    SLC1A3	SIRT2	    NXPH1
    ATAD2	    HJURP	    NCRUPAR	ADCYAP1R1	    CDC42EP4	OMG	    GRIA4
    RAD51	    HJURP	    BAZ2B	GLUL	    NTRK2	RGMB	    SGK1
    RRM2	    CDCA3	    NELL2	EPAS1	    CBS	HIPK2	    ZDHHC9
    CDC45	    HN1	    OPHN1	PFKFB3	    DOK5	APOD	    CSPG4
    CDC6	    CDC20	    SPHKAP	ANLN	    FOS	NPPA	    LRRN1
    EXO1	    TTK	    RAB42	HEPN1	    TRIL	EEF1B2	    BIN1
    TIPIN	    CDC25C	    LOH12CR2	CPE	    SLC1A2	RPS17L	    EBP
    DSCC1	    KIF2C	    ASCL1	RASL10A	    ATP13A4	FXYD6	    CNP
    BLM	    RANGAP1	    BOC	SEMA6A	    ID1	MYT1	
    CASP8AP2	    NCAPD2	    ZBTB8A	ZFP36L1	    TPCN1	RGR	
    USP1	    DLGAP5	    ZNF793	HEY1	    FOSB	OLIG2	
    CLSPN	    CDCA2	    TOX3	PRLHR	    LIX1	ZCCHC24	
    POLA1	    CDCA8	  EGFR	TACR1	    IL33	MTSS1	
    CHAF1B	    ECT2	    PGM5P2	JUN	    TIMP3	GNB2L1	
    BRIP1	    KIF23	    EEF1A1	GADD45B	    NHSL1	C17orf76-AS1	
    E2F8	    HMMR	    MALAT1	SLC1A3	    ZFP36L2	ACTG1	
	    AURKA	    TATDN3	CDC42EP4	    DTNA	EPN2	
	    PSRC1	    CCL5	MMD2	    ARHGEF26	PGRMC1	
	    ANLN	    EVI2A	CPNE5	    TBC1D10A	TMSB10	
	    LBR	    LYZ	CPVL	    LHFP	NAP1L1	
	    CKAP5	    POU5F1	RHOB	    NOG	EEF2	
	    CENPE	    FBXO27	NTRK2	    LCAT	MIAT	
	    CTCF	    CAMK2N1	CBS	    LRIG1	CDHR1	
	    NEK2	NEK5	DOK5	    GATSL3	TRAF4	
	    G2E3	    PABPC1	TOB2	    ACSL6	TMEM97	
	    GAS2L3	    AFMID	FOS	    HEPACAM	NACA	
	    CBX5	    QPCTL	TRIL	    SCG3	RPSAP58	
	    CENPA	    MBOAT1	NFKBIA	    RFX4	SCD	
		    HAPLN1	SLC1A2	    NDRG2	TNK2	
		    LOC90834	MTHFD2	    HSPB8	RTKN	
		    LRTOMT	IER2	    ATF3	UQCRB	
		    GATM-AS1	EFEMP1	    PON2	FA2H	
		    AZGP1	ATP13A4	    ZFP36	MIF	
		    RAMP2-AS1	KCNIP2	    PER1	TUBB3	
		    SPDYE5	ID1	    BTG2	COX7C	
		    TNFAIP8L1	TPCN1	    NRP1	AMOTL2	
			LRRC8A	    PRRT2	THY1	
			MT2A	    F3	NPM1	
			FOSB		MARCKSL1	
			L1CAM		LIMS2	
			LIX1		PHLDB1	
			HLA-E		RAB33A	
			PEA15		GRIA2	
			MT1X		OPCML	
			IL33		SHISA4	
			LPL		TMEFF2	
			IGFBP7		ACAT2	
			C1orf61		HIP1	
			FXYD7		NME1	
			TIMP3		NXPH1	
			RASSF4		FDPS	
			HNMT		MAP1A	
			JUND		DLL1	
			NHSL1		TAGLN3	
			ZFP36L2		PID1	
			SRPX		KLRC2	
			DTNA		AFAP1L2	
			ARHGEF26		LDHB	
			SPON1		TUBB4A	
			TBC1D10A		ASIC1	
			DGKG		TM7SF2	
			LHFP		GRIA4	
			FTH1		SGK1	
			NOG		P2RX7	
			LCAT		WSCD1	
			LRIG1		ATP5E	
			GATSL3		ZDHHC9	
			EGLN3		MAML2	
			ACSL6		UGT8	
			HEPACAM		C2orf27A	
			ST6GAL2		VIPR2	
			KIF21A		DHCR24	
			SCG3		NME2	
			METTL7A		TCF12	
			CHST9		MEST	
			RFX4		CSPG4	
			P2RY1		GAS5	
			ZFAND5		MAP2	
			TSPAN12		LRRN1	
			SLC39A11		GRIK2	
			NDRG2		FABP7	
			HSPB8		EIF3E	
			IL11RA		RPL13A	
			SERPINA3		ZEB2	
			LYPD1		EIF3L	
			KCNH7		BIN1	
			ATF3		FGFBP3	
			TMEM151B		RAB2A	
			PSAP		SNX1	
			HIF1A		KCNIP3	
			PON2		EBP	
			HIF3A		CRB1	
			MAFB		RPS10-NUDT3	
			SCG2		GPR37L1	
			GRIA1		CNP	
			ZFP36		DHCR7	
			GRAMD3		MICAL1	
			PER1		TUBB	
			TNS1		FAU	
			BTG2		TMSB4X	
			CASQ1		PHACTR3	
			GPR75			
			TSC22D4			
			NRP1			
			DNASE2			
			DAND5			
			SF3A1			
			PRRT2			
			DNAJB1			
			F3			
