rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105B_P6_C4_S32_L004_R1_001	0.443630446	-1.065534222	-0.823802412	-0.254055729	-0.158110381	-0.206038293	-0.267820748	-0.099554171	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_C1_S2_L005.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_C6_S34_L004_R1_001	0.049450515	0.139394871	0.804004394	0.61112111	0.239569039	0.202164126	-0.129384152	-0.179072243	AC	AC	AC	Diff	AC	AC	MGH105B	MGH105B_P6_C1_S2_L005.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_D1_S41_L004_R1_001	-1.148095991	1.346265116	1.31075008	0.568813508	0.142540701	-0.129259116	-0.542370999	0.16241528	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_C1_S2_L005.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_D11_S51_L004_R1_001	-0.450228212	-0.213545253	-0.707138707	-0.469419969	-0.001332271	0.34084308	0.390368879	-0.172846313	G1.S	NPC.2	NPC	G1.S	G1.S	G1.S	MGH105B	MGH105B_P6_C1_S2_L005.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_D4_S44_L004_R1_001	0.190403352	0.731839988	-0.1647394	0.242438738	-0.251286856	0.082189459	0.177819518	-0.21967967	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_C1_S2_L005.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_D5_S45_L004_R1_001	0.557589706	-2.013566828	-1.363542823	-0.288597133	-0.291562823	-0.385501062	0.041473261	0.028957938	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_C1_S2_L005.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E10_S60_L004_R1_001	-0.079280327	0.55517347	0.351064112	0.085872122	0.36466494	0.31158549	0.375064416	0.101937625	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E11_S61_L004_R1_001	0.482038257	-0.293433241	-0.615309794	-0.070019287	-0.17200612	-0.072664082	-0.040895905	-0.120019938	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E12_S62_L004_R1_001	1.101341252	-0.01772616	-0.058735344	-0.092366045	-0.222796863	0.134838683	0.071506745	0.189353599	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E3_S54_L004_R1_001	-0.310521146	0.604768823	0.412907857	-0.217018866	0.269355296	-0.236618519	-0.561270317	-0.409302688	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E7_S57_L004_R1_001	-0.947533855	1.217640171	0.688183481	0.243861918	-0.013105915	-0.286899736	-0.389022591	0.062999554	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E8_S58_L004_R1_001	0.404241719	-0.59732467	-0.803869045	-0.319376583	-0.159253557	-0.148741545	0.100235041	0.006559903	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_E9_S59_L004_R1_001	-0.49847907	0.744493133	1.130867688	0.45543038	0.254518876	0.336780805	-0.054230861	0.225112723	AC	AC	AC	Diff	AC	AC	MGH105B	MGH105B_P6_E1_S3_L005.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_F10_S72_L004_R1_001	1.124169889	-0.584891165	0.118422554	-0.342457563	-0.020998533	0.206168065	-0.027177676	0.038388186	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_F11_S4_L004_R1_001	-0.164657326	1.038565873	0.80144941	0.232549265	-0.143693635	0.090607665	-0.097037629	0.178704197	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_F2_S64_L004_R1_001	0.522091619	0.078180374	-0.001232663	0.018216128	-0.115244486	-0.001396037	0.122308589	-0.064210705	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_E1_S3_L005.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_F5_S67_L004_R1_001	-0.507682348	-1.81257115	-0.743284738	-0.114138834	0.100956878	-0.296738657	0.710865358	0.313479254	G1.S	NPC.1	NPC	G1.S	G1.S	G1.S	MGH105B	MGH105B_P6_E1_S3_L005.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_F9_S71_L004_R1_001	-0.257144792	-0.625646173	-0.365601808	0.083358041	0.244363071	0.137258206	-0.009300243	0.25633508	G2.M	NPC.1	NPC	G2.M	G2.M	G2.M	MGH105B	MGH105B_P6_E1_S3_L005.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_G11_S83_L004_R1_001	0.664233102	-0.879792358	-0.264240865	0.163870262	0.004043488	0.002429502	0.238010756	0.182944948	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_G3_S76_L004_R1_001	0.217438065	1.184921215	0.824155431	0.118608554	-0.124318493	-0.180441086	-0.172322313	-0.272610919	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_G5_S78_L004_R1_001	0.011915526	0.444611683	0.347169829	-0.142431467	0.079985579	-0.089960894	-0.072164911	0.064973557	MES.1	MES.1	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_G9_S81_L004_R1_001	0.278721447	-0.784124589	-0.728148201	-0.306196887	-0.054013374	-0.160105741	-0.138532937	-0.183820844	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_H1_S85_L004_R1_001	0.012572316	0.478090751	0.530010115	-0.05870594	-0.104287003	-0.036107472	0.241619165	-0.068172909	AC	AC	AC	Diff	AC	AC	MGH105B	MGH105B_P6_G1_S4_L005.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_H11_S94_L004_R1_001	0.809251614	-1.743857695	-1.056062879	-0.547071722	-0.394377706	-0.24516587	0.047757782	0.048282726	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105B_P6_H4_S88_L004_R1_001	0.982668549	-1.171218471	-0.64108244	-0.306999021	0.039158868	0.069676043	0.096707595	0.017920817	MES.2	MES.2	MES	Diff	MES	MES	MGH105B	MGH105B_P6_G1_S4_L005.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
